/home/michaelye22/.local/lib/python3.10/site-packages/tqdm/auto.py:21: TqdmWarning: IProgress not found. Please update jupyter and ipywidgets. See https://ipywidgets.readthedocs.io/en/stable/user_install.html
  from .autonotebook import tqdm as notebook_tqdm
[I 2024-01-15 12:28:43,132] A new study created in memory with name: no-name-8e7324cf-698d-4ef2-82c4-25035dec65ef
[I 2024-01-15 12:28:51,473] Trial 0 finished with value: 0.7413404962906114 and parameters: {'max_depth': 8, 'learning_rate': 0.13688798890175255, 'subsample': 0.7492406556765355, 'colsample_bytree': 0.9995956452920518, 'reg_alpha': 1.0189189297756681e-05, 'reg_lambda': 0.8027474478269631, 'min_child_weight': 19, 'gamma': 0.27855633201928137, 'num_boost_round': 748}. Best is trial 0 with value: 0.7413404962906114.
[I 2024-01-15 12:29:09,074] Trial 1 finished with value: 0.7348170887695062 and parameters: {'max_depth': 8, 'learning_rate': 0.024454940651812706, 'subsample': 0.7764563956743664, 'colsample_bytree': 0.8117894673852579, 'reg_alpha': 0.43777617085832804, 'reg_lambda': 0.0007804756930212677, 'min_child_weight': 16, 'gamma': 0.06495276228766539, 'num_boost_round': 716}. Best is trial 0 with value: 0.7413404962906114.
[I 2024-01-15 12:29:10,165] Trial 2 finished with value: 0.6897927858787414 and parameters: {'max_depth': 9, 'learning_rate': 0.020889319628910785, 'subsample': 0.8574837984343981, 'colsample_bytree': 0.9130901463689313, 'reg_alpha': 0.9096790451032419, 'reg_lambda': 1.5229969427197923e-06, 'min_child_weight': 15, 'gamma': 0.4668262403563398, 'num_boost_round': 757}. Best is trial 0 with value: 0.7413404962906114.
[I 2024-01-15 12:29:10,981] Trial 3 finished with value: 0.680199539524175 and parameters: {'max_depth': 8, 'learning_rate': 0.006398031152796825, 'subsample': 0.9536057907940481, 'colsample_bytree': 0.7796615031758118, 'reg_alpha': 0.009140510947713208, 'reg_lambda': 0.034626570600253814, 'min_child_weight': 9, 'gamma': 0.47570292115735, 'num_boost_round': 842}. Best is trial 0 with value: 0.7413404962906114.
[I 2024-01-15 12:29:21,926] Trial 4 finished with value: 0.7435917114351496 and parameters: {'max_depth': 10, 'learning_rate': 0.058881428304587605, 'subsample': 0.7216619076506763, 'colsample_bytree': 0.7827470793489558, 'reg_alpha': 1.1738616982289215e-06, 'reg_lambda': 0.02383140608219929, 'min_child_weight': 6, 'gamma': 0.4019852619075249, 'num_boost_round': 410}. Best is trial 4 with value: 0.7435917114351496.
[I 2024-01-15 12:29:29,647] Trial 5 finished with value: 0.7349705807111793 and parameters: {'max_depth': 6, 'learning_rate': 0.10513838766622685, 'subsample': 0.7764823469239212, 'colsample_bytree': 0.7539427621221371, 'reg_alpha': 0.00113739187888488, 'reg_lambda': 1.4355199244314256, 'min_child_weight': 16, 'gamma': 0.026977465293649527, 'num_boost_round': 657}. Best is trial 4 with value: 0.7435917114351496.
[I 2024-01-15 12:29:35,589] Trial 6 finished with value: 0.7434382194934765 and parameters: {'max_depth': 9, 'learning_rate': 0.1403190368495648, 'subsample': 0.7361281505167826, 'colsample_bytree': 0.895632073571001, 'reg_alpha': 3.155870530050437e-05, 'reg_lambda': 0.07714281156709099, 'min_child_weight': 15, 'gamma': 0.18612683141934588, 'num_boost_round': 468}. Best is trial 4 with value: 0.7435917114351496.
[I 2024-01-15 12:29:44,102] Trial 7 finished with value: 0.7280890253261704 and parameters: {'max_depth': 6, 'learning_rate': 0.062122719809504325, 'subsample': 0.8837604693599914, 'colsample_bytree': 0.7858801457088483, 'reg_alpha': 0.0004694473258156804, 'reg_lambda': 3.436705864830118e-06, 'min_child_weight': 8, 'gamma': 0.21337956969615096, 'num_boost_round': 795}. Best is trial 4 with value: 0.7435917114351496.
[I 2024-01-15 12:29:44,759] Trial 8 finished with value: 0.6674597083653109 and parameters: {'max_depth': 7, 'learning_rate': 0.01120110242549355, 'subsample': 0.8946219556123849, 'colsample_bytree': 0.9317712896878352, 'reg_alpha': 8.877123309373244e-06, 'reg_lambda': 0.000685188591150792, 'min_child_weight': 3, 'gamma': 0.4004058458000939, 'num_boost_round': 697}. Best is trial 4 with value: 0.7435917114351496.
[I 2024-01-15 12:29:56,868] Trial 9 finished with value: 0.7339984650805833 and parameters: {'max_depth': 8, 'learning_rate': 0.0367884865385211, 'subsample': 0.7390601567610511, 'colsample_bytree': 0.933002035723946, 'reg_alpha': 0.578004492870987, 'reg_lambda': 0.0006413310937775122, 'min_child_weight': 2, 'gamma': 0.4544183028424626, 'num_boost_round': 610}. Best is trial 4 with value: 0.7435917114351496.
[I 2024-01-15 12:30:05,867] Trial 10 finished with value: 0.7378357636224098 and parameters: {'max_depth': 10, 'learning_rate': 0.05123467972716091, 'subsample': 0.8134686167651075, 'colsample_bytree': 0.7157458646538026, 'reg_alpha': 1.140793556035862e-06, 'reg_lambda': 0.013556449742381278, 'min_child_weight': 6, 'gamma': 0.3389630210723332, 'num_boost_round': 436}. Best is trial 4 with value: 0.7435917114351496.
[I 2024-01-15 12:30:09,856] Trial 11 finished with value: 0.741903300076746 and parameters: {'max_depth': 10, 'learning_rate': 0.18941267422916538, 'subsample': 0.7001717762725685, 'colsample_bytree': 0.8663866095551754, 'reg_alpha': 3.462859288328461e-05, 'reg_lambda': 0.0747989670861341, 'min_child_weight': 12, 'gamma': 0.14947718340352384, 'num_boost_round': 415}. Best is trial 4 with value: 0.7435917114351496.
[I 2024-01-15 12:30:18,732] Trial 12 finished with value: 0.7452033768227169 and parameters: {'max_depth': 10, 'learning_rate': 0.08373495199604497, 'subsample': 0.7082553594141433, 'colsample_bytree': 0.8507484812218834, 'reg_alpha': 1.108434190223342e-06, 'reg_lambda': 0.013540395908491862, 'min_child_weight': 13, 'gamma': 0.16369828032058342, 'num_boost_round': 507}. Best is trial 12 with value: 0.7452033768227169.
[I 2024-01-15 12:30:27,927] Trial 13 finished with value: 0.7446149910463034 and parameters: {'max_depth': 10, 'learning_rate': 0.07992343654750744, 'subsample': 0.7021115707984484, 'colsample_bytree': 0.8395447167870866, 'reg_alpha': 1.1968639555139412e-06, 'reg_lambda': 4.347746359782686e-05, 'min_child_weight': 12, 'gamma': 0.11564125517114648, 'num_boost_round': 538}. Best is trial 12 with value: 0.7452033768227169.
[I 2024-01-15 12:30:36,379] Trial 14 finished with value: 0.7303658224609875 and parameters: {'max_depth': 5, 'learning_rate': 0.09270409175355694, 'subsample': 0.8112781923162004, 'colsample_bytree': 0.8350851264491687, 'reg_alpha': 0.0002816369094909886, 'reg_lambda': 5.800655340311084e-05, 'min_child_weight': 12, 'gamma': 0.10462362132364472, 'num_boost_round': 538}. Best is trial 12 with value: 0.7452033768227169.
[I 2024-01-15 12:30:43,582] Trial 15 finished with value: 0.7389357892044002 and parameters: {'max_depth': 9, 'learning_rate': 0.0847562252510853, 'subsample': 0.9909075105529384, 'colsample_bytree': 0.8632535313665025, 'reg_alpha': 0.01891735153161783, 'reg_lambda': 3.561418707067076e-05, 'min_child_weight': 20, 'gamma': 0.1170817110822098, 'num_boost_round': 530}. Best is trial 12 with value: 0.7452033768227169.
[I 2024-01-15 12:30:55,935] Trial 16 finished with value: 0.7392171910974674 and parameters: {'max_depth': 10, 'learning_rate': 0.037032526937363634, 'subsample': 0.7061150269852597, 'colsample_bytree': 0.8263782947062615, 'reg_alpha': 4.5634935808656546e-06, 'reg_lambda': 5.1370409483445935e-05, 'min_child_weight': 12, 'gamma': 0.001223101296121465, 'num_boost_round': 566}. Best is trial 12 with value: 0.7452033768227169.
[I 2024-01-15 12:31:00,804] Trial 17 finished with value: 0.7437196213865438 and parameters: {'max_depth': 9, 'learning_rate': 0.19779982290457268, 'subsample': 0.7835221862864554, 'colsample_bytree': 0.9675472786936095, 'reg_alpha': 8.48976718499231e-05, 'reg_lambda': 0.002942017632319986, 'min_child_weight': 10, 'gamma': 0.2750997526105015, 'num_boost_round': 502}. Best is trial 12 with value: 0.7452033768227169.
[I 2024-01-15 12:31:01,819] Trial 18 finished with value: 0.6962906114095677 and parameters: {'max_depth': 10, 'learning_rate': 0.017078899043461812, 'subsample': 0.8205754091988993, 'colsample_bytree': 0.8828287489170593, 'reg_alpha': 2.9513750750400347e-06, 'reg_lambda': 0.0001654362919155306, 'min_child_weight': 13, 'gamma': 0.22366971021804483, 'num_boost_round': 576}. Best is trial 12 with value: 0.7452033768227169.
[I 2024-01-15 12:31:09,316] Trial 19 finished with value: 0.7351752366334101 and parameters: {'max_depth': 7, 'learning_rate': 0.07099666628646983, 'subsample': 0.7577260469004848, 'colsample_bytree': 0.70557334411919, 'reg_alpha': 0.0025378199814806634, 'reg_lambda': 1.1935737221086434e-05, 'min_child_weight': 18, 'gamma': 0.1674311238149277, 'num_boost_round': 488}. Best is trial 12 with value: 0.7452033768227169.
[I 2024-01-15 12:31:20,509] Trial 20 finished with value: 0.7401381427475058 and parameters: {'max_depth': 9, 'learning_rate': 0.04395728557189927, 'subsample': 0.8463687567271789, 'colsample_bytree': 0.8089584565474546, 'reg_alpha': 0.08051261326695332, 'reg_lambda': 0.004623619827498646, 'min_child_weight': 8, 'gamma': 0.08466799788308935, 'num_boost_round': 628}. Best is trial 12 with value: 0.7452033768227169.
[I 2024-01-15 12:31:24,993] Trial 21 finished with value: 0.7422102839600921 and parameters: {'max_depth': 9, 'learning_rate': 0.19724055811510072, 'subsample': 0.7803896619025495, 'colsample_bytree': 0.9780835542300669, 'reg_alpha': 6.612169669579818e-05, 'reg_lambda': 0.0037178117629812235, 'min_child_weight': 10, 'gamma': 0.29093327217638665, 'num_boost_round': 502}. Best is trial 12 with value: 0.7452033768227169.
